Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
128;0.523058,0.625072,-0.0262229,0.0495768,0.748868,0.481449,0.0354128,0.262929,-0.00744442,0.512627,-0.0295226,-0.222883;-0.302642,-6.2865,-1.7637,-0.446668
129;0.312898,0.3618,-0.232326,0.399256,-0.00226842,-0.13993,-0.65208,0.133014,-0.306762,0.288823,0.103571,-0.456609;-0.79178,-7.5128,-0.528161,-0.0804619
130;0.212164,0.3618,-0.326249,0.399256,-0.00226842,-0.13993,-0.737592,0.135806,-0.0842877,0.10881,0.188308,-0.792649;-1.3286,-8.69998,0.109194,0.187727
131;0.326465,0.3618,-0.382984,0.399256,-0.00226842,-0.13993,-0.836083,0.138051,-0.0432476,0.0323603,0.325417,-0.83631;-1.74793,-9.22488,0.220936,0.33051
132;0.340717,0.3618,-0.468858,0.399256,-0.00226842,-0.13993,-0.843523,0.139003,0.0035637,-0.0917501,0.314509,-0.868444;-2.20552,-9.32783,0.363994,0.302276
133;0.351107,0.3618,-0.462312,0.399256,-0.00226842,-0.13993,-0.845587,0.14055,0.00761001,-0.0819292,0.269773,-0.882397;-2.11552,-9.34811,0.352185,0.288589
134;0.555141,0.564497,-0.755026,0.372083,0.26575,0.0274009,-0.946118,-0.104553,-0.0851439,-0.328264,0.516251,-0.931297;-3.84691,-11.056,0.596932,-0.410941
135;0.540061,0.160411,-0.25723,0.309487,0.373016,0.175898,-0.719668,0.359241,0.296841,-0.221332,0.0159709,-0.956898;-2.08213,-7.68601,-0.590682,0.790766
136;-0.177869,-0.343113,0.410174,0.631987,0.561107,0.0153992,-0.641652,-0.215874,-0.0708104,0.333297,-0.138106,-0.736648;0.751324,-3.59491,-2.09678,0.900803
137;-0.212989,0.21066,0.366421,0.441713,0.837547,0.347434,-0.631395,-0.313559,-0.0492662,0.648144,0.570866,-0.00760357;0.109055,-4.90813,-3.07124,0.686864
138;-0.136904,0.618772,-0.381156,0.734333,0.724726,0.283079,-0.3204,-0.656238,0.201559,-0.260509,0.5815,0.262656;-2.96051,-6.47236,-1.85306,-0.190019
139;0.0638659,0.618772,-0.388099,0.734333,0.724726,0.283079,0.0559667,-0.649615,-0.15992,-0.278827,-0.13918,0.0813265;-2.17557,-5.88256,-1.46849,-1.39231
140;0.12982,0.618772,0.141673,0.734333,0.724726,0.283079,-0.0987035,-0.64948,-0.318904,0.351685,-0.0142609,0.373695;0.257542,-5.50722,-2.65544,-0.880642
141;0.523156,0.625072,-0.0262434,0.0495768,0.748868,0.481449,0.0351748,0.262934,-0.00725609,0.51261,-0.0295369,-0.22348;-0.302445,-6.28888,-1.76292,-0.446366
142;0.313096,0.3618,-0.232316,0.399256,-0.00226842,-0.13993,-0.652378,0.133014,-0.306659,0.288835,0.104006,-0.456777;-0.792079,-7.51443,-0.527966,-0.0798793
143;0.212223,0.3618,-0.326547,0.399256,-0.00226842,-0.13993,-0.73766,0.135806,-0.0841515,0.10842,0.188437,-0.792739;-1.33029,-8.70049,0.109691,0.187725
144;0.326494,0.3618,-0.383068,0.399256,-0.00226842,-0.13993,-0.836087,0.138056,-0.0432165,0.0322435,0.325273,-0.836383;-1.74823,-9.22499,0.221081,0.330372
145;0.34074,0.3618,-0.468772,0.399256,-0.00226842,-0.13993,-0.843535,0.139005,0.0035687,-0.0916202,0.314496,-0.868458;-2.20497,-9.32794,0.363881,0.30238
146;0.351112,0.3618,-0.462304,0.399256,-0.00226842,-0.13993,-0.845597,0.140548,0.00761679,-0.0819178,0.269854,-0.882388;-2.11554,-9.34818,0.35219,0.288664
147;0.555138,0.564497,-0.755052,0.372083,0.26575,0.0274009,-0.946117,-0.104553,-0.0851405,-0.328329,0.516251,-0.931298;-3.84713,-11.056,0.596979,-0.410972
